repo_name,file_name,smell_count,year,file_size,loc,owner_type,language,size,base_image_full,base_image
Qabel/qabel-drop,Qabel/qabel-drop/composeproductionpostgresDockerfile,1,2019,229,5,Organization,Python,144,postgres:11.3,postgres
Qabel/qabel-drop,Qabel/qabel-drop/composeproductiontraefikDockerfile,2,2019,191,5,Organization,Python,144,traefik:alpine,traefik
RWTH-I5-IDSG/steve,RWTH-I5-IDSG/steve/Dockerfile,2,2019,882,15,Organization,Java,7619,maven:3.6.1-jdk-11,maven
Razorpay/concierge,Razorpay/concierge/Dockerfile,1,2019,562,18,Organization,PHP,2343,razorpay/pithos:rzp-php7.1-nginx,razorpay/pithos
RedHatQE/cfme_tests,RedHatQE/cfme_tests/sproutdockerfilesDockerfile,15,2019,1593,20,Organization,Python,39253,fedora:30,fedora
RoboJackets/iarrc-software,RoboJackets/iarrc-software/Dockerfile,5,2019,850,9,Organization,C++,338691,ros:melodic,ros
RossMeikleham/GB-Emu-C,RossMeikleham/GB-Emu-C/buildUEFIDockerfile,6,2019,910,20,User,C,26807,rojuinex/edk2-uefi,rojuinex/edk2-uefi
RossMeikleham/GameBoyEmulator,RossMeikleham/GameBoyEmulator/buildUEFIDockerfile,6,2019,910,20,User,C,26807,rojuinex/edk2-uefi,rojuinex/edk2-uefi
RouxRC/gazouilleur,RouxRC/gazouilleur/Dockerfile,6,2019,1212,23,User,Python,1679,python:2.7.17-alpine3.9,python
SINTEF-9012/ThingML,SINTEF-9012/ThingML/compilersofficial-network-pluginsDockerfile,8,2019,1230,10,Organization,Java,324987,openjdk:8-jre-slim,openjdk
SIPp/sipp,SIPp/sipp/dockerDockerfile,2,2019,215,3,Organization,C++,6246,alpine:3.10,alpine
STJr/SRB2,STJr/SRB2/libslibpng-srccontriboss-fuzzDockerfile,10,2019,988,8,Organization,C,158838,gcr.io/oss-fuzz-base/base-builder,gcr.io/oss-fuzz-base/base-builder
SUNET/eduid-IdP,SUNET/eduid-IdP/Dockerfile,8,2019,709,15,Organization,Python,1157,docker.sunet.se/eduid/python3env,docker.sunet.se/eduid/python3env
SUNET/eduid-am,SUNET/eduid-am/Dockerfile,2,2019,541,11,Organization,Python,375,docker.sunet.se/eduid/python3env,docker.sunet.se/eduid/python3env
SUNET/eduid_msg,SUNET/eduid_msg/Dockerfile,6,2019,891,18,Organization,Python,300,docker.sunet.se/eduid/python3env,docker.sunet.se/eduid/python3env
SUNET/flog,SUNET/flog/Dockerfile,2,2019,330,10,Organization,Python,7390,debian:stable,debian
Sage-Bionetworks/synapsePythonClient,Sage-Bionetworks/synapsePythonClient/Dockerfile,6,2019,420,13,Organization,Python,10548,ubuntu:18.04,ubuntu
Schlaefer/Saito,Schlaefer/Saito/devdockerphp7apacheDockerfile,20,2019,2902,49,User,PHP,33078,php:7.2-apache,php
SevenBits/Enterprise,SevenBits/Enterprise/Dockerfile,5,2019,702,4,User,C,555,alpine,alpine
ShaneMcC/MoneyTracker,ShaneMcC/MoneyTracker/Dockerdocker-php-v8Dockerfile,11,2019,666,22,User,PHP,16044,unamo/docker-php,unamo/docker-php
ShaneMcC/MoneyTracker,ShaneMcC/MoneyTracker/Dockerdocker-php-v8prebuildDockerfile,5,2019,341,8,User,PHP,16044,unamo/docker-php,unamo/docker-php
ShaneMcC/MoneyTracker,ShaneMcC/MoneyTracker/Dockerfile,11,2019,1452,37,User,PHP,16044,php:7.2-apache,php
SimpleITK/SimpleITK,SimpleITK/SimpleITK/UtilitiesGenerateDocsdockerDockerfile,3,2019,410,10,Organization,SWIG,21985,ubuntu:18.04,ubuntu
Skookum/bamboozled,Skookum/bamboozled/Dockerfile,5,2019,167,7,Organization,Ruby,184,ruby:2.5,ruby
SoPR/horas,SoPR/horas/Dockerfile,6,2019,708,22,Organization,Python,26918,python:3.7-alpine3.8,python
TEIC/Roma,TEIC/Roma/Dockerfile,1,2019,907,19,Organization,PHP,1050,php:7-apache,php
TERRANZ/jbrss,TERRANZ/jbrss/servicesaccountsrcmaindockerDockerfile,2,2019,289,6,User,Java,54708,anapsix/alpine-java,anapsix/alpine-java
TERRANZ/jbrss,TERRANZ/jbrss/servicesdmssrcmaindockerDockerfile,2,2019,271,6,User,Java,54708,anapsix/alpine-java,anapsix/alpine-java
TERRANZ/jbrss,TERRANZ/jbrss/servicesimappsrcmaindockerDockerfile,2,2019,287,6,User,Java,54708,anapsix/alpine-java,anapsix/alpine-java
TERRANZ/jbrss,TERRANZ/jbrss/servicesproxysrcmaindockerDockerfile,2,2019,287,6,User,Java,54708,anapsix/alpine-java,anapsix/alpine-java
TERRANZ/jbrss,TERRANZ/jbrss/servicesregistrationsrcmaindockerDockerfile,2,2019,296,6,User,Java,54708,anapsix/alpine-java,anapsix/alpine-java
TERRANZ/jbrss,TERRANZ/jbrss/servicesrsscoresrcmaindockerDockerfile,2,2019,289,6,User,Java,54708,anapsix/alpine-java,anapsix/alpine-java
TSMMark/homophone,TSMMark/homophone/Dockerfile,23,2019,3000,50,User,Ruby,1817,ubuntu:trusty,ubuntu
TechEmpower/FrameworkBenchmarks,TechEmpower/FrameworkBenchmarks/frameworksLispningleningle.dockerfile,7,2019,1479,38,Organization,Java,303464,debian,debian
TechEmpower/FrameworkBenchmarks,TechEmpower/FrameworkBenchmarks/frameworksLispninglexninglex.dockerfile,10,2019,1639,42,Organization,Java,303464,debian,debian
TechEmpower/FrameworkBenchmarks,TechEmpower/FrameworkBenchmarks/frameworksLispwoowoo.dockerfile,7,2019,1458,38,Organization,Java,303464,debian,debian
TechEmpower/FrameworkBenchmarks,TechEmpower/FrameworkBenchmarks/frameworksPHPhyperfhyperf-micro.dockerfile,4,2019,1616,31,Organization,Java,303464,hyperf/hyperf:7.2-alpine-cli,hyperf/hyperf
TechEmpower/FrameworkBenchmarks,TechEmpower/FrameworkBenchmarks/frameworksPHPhyperfhyperf-raw.dockerfile,4,2019,1616,31,Organization,Java,303464,hyperf/hyperf:7.2-alpine-cli,hyperf/hyperf
TechEmpower/FrameworkBenchmarks,TechEmpower/FrameworkBenchmarks/frameworksPHPhyperfhyperf.dockerfile,4,2019,1616,31,Organization,Java,303464,hyperf/hyperf:7.2-alpine-cli,hyperf/hyperf
TheTorProject/ooni-sysadmin,TheTorProject/ooni-sysadmin/dockerooni-notebookDockerfile,7,2019,296,12,Organization,Jinja,2853,jupyter/scipy-notebook,jupyter/scipy-notebook
TheTorProject/ooni-sysadmin,TheTorProject/ooni-sysadmin/dockerpostgres-metadbDockerfile,2,2019,280,8,Organization,Jinja,2853,postgres:9.6.12,postgres
TurboGears/tgwebsite,TurboGears/tgwebsite/Dockerfile,33,2019,5219,84,Organization,HTML,335640,nginx:latest,nginx
UoEMainLibrary/skylight-local,UoEMainLibrary/skylight-local/dockerDockerfile,2,2019,1291,15,Organization,PHP,1531446,ubuntu:14.04,ubuntu
WebGoat/WebGoat,WebGoat/WebGoat/webgoat-serverDockerfile,5,2019,523,12,Organization,JavaScript,101809,openjdk:11.0.1-jre-slim-stretch,openjdk
WebGoat/WebGoat,WebGoat/WebGoat/webwolfDockerfile,3,2019,415,11,Organization,JavaScript,101809,openjdk:11.0.1-jre-slim-stretch,openjdk
Wikia/app,Wikia/app/dockerbaseDockerfile,6,2019,5663,94,Organization,PHP,890911,php:7.3.11-fpm-stretch,php
Wikia/app,Wikia/app/dockerdevboxDockerfile,3,2019,940,10,Organization,PHP,890911,artifactory.wikia-inc.com/sus/php-wikia-base:0b02db1c1f7,artifactory.wikia-inc.com/sus/php-wikia-base
Wikia/app,Wikia/app/dockerdevboxcomposerDockerfile,4,2019,736,15,Organization,PHP,890911,artifactory.wikia-inc.com/sus/php-wikia-base:0b02db1c1f7,artifactory.wikia-inc.com/sus/php-wikia-base
Wikia/app,Wikia/app/libcomposerackintoshganeshaexamplesclientDockerfile,5,2019,840,21,Organization,PHP,890911,php:7.2-cli,php
