repo_name,smell_code,type,level,year,file_size,loc,owner_type,language,size
officialcjunior/rizin,DL3008,DL,warning,2021,2438,45,User,C,128221
officialcjunior/rizin,DL3022,DL,warning,2021,2438,45,User,C,128221
InukaRanmira/Video-call-bot,DL3007,DL,warning,2021,304,10,User,Python,322
InukaRanmira/Video-call-bot,DL3027,DL,warning,2021,304,10,User,Python,322
InukaRanmira/Video-call-bot,DL3027,DL,warning,2021,304,10,User,Python,322
InukaRanmira/Video-call-bot,DL3003,DL,warning,2021,304,10,User,Python,322
InukaRanmira/Video-call-bot,DL3003,DL,warning,2021,304,10,User,Python,322
InukaRanmira/Video-call-bot,SC2164,SC,warning,2021,304,10,User,Python,322
InukaRanmira/Video-call-bot,DL3042,DL,warning,2021,304,10,User,Python,322
InukaRanmira/Video-call-bot,DL3013,DL,warning,2021,304,10,User,Python,322
InukaRanmira/Video-call-bot,DL3042,DL,warning,2021,304,10,User,Python,322
InukaRanmira/Video-call-bot,DL3025,DL,warning,2021,304,10,User,Python,322
dersonsena/small-sh,DL3018,DL,warning,2021,826,33,User,PHP,282
dersonsena/small-sh,DL3022,DL,warning,2021,826,33,User,PHP,282
BeWelcome/rox,DL3018,DL,warning,2021,4421,126,Organization,PHP,218470
BeWelcome/rox,DL3018,DL,warning,2021,4421,126,Organization,PHP,218470
BeWelcome/rox,DL4006,DL,warning,2021,4421,126,Organization,PHP,218470
BeWelcome/rox,DL3018,DL,warning,2021,4421,126,Organization,PHP,218470
BeWelcome/rox,DL3022,DL,warning,2021,4421,126,Organization,PHP,218470
BeWelcome/rox,DL4006,DL,warning,2021,4421,126,Organization,PHP,218470
BeWelcome/rox,DL3018,DL,warning,2021,4421,126,Organization,PHP,218470
AndreyPootMay/yii2,DL3006,DL,warning,2020,413,9,User,None,77392
AndreyPootMay/yii2,DL3020,DL,error,2020,413,9,User,None,77392
AndreyPootMay/yii2,DL3020,DL,error,2020,413,9,User,None,77392
AndreyPootMay/yii2,DL3020,DL,error,2020,413,9,User,None,77392
AndreyPootMay/yii2,DL3020,DL,error,2020,413,9,User,None,77392
tappoflw/tappo1,DL3007,DL,warning,2021,271,4,User,HCL,70
tappoflw/tappo1,DL3025,DL,warning,2021,271,4,User,HCL,70
OpenDroneMap/WebODM,DL4000,DL,error,2021,1953,25,Organization,JavaScript,109261
OpenDroneMap/WebODM,DL3020,DL,error,2021,1953,25,Organization,JavaScript,109261
OpenDroneMap/WebODM,DL3003,DL,warning,2021,1953,25,Organization,JavaScript,109261
OpenDroneMap/WebODM,DL3042,DL,warning,2021,1953,25,Organization,JavaScript,109261
OpenDroneMap/WebODM,DL3013,DL,warning,2021,1953,25,Organization,JavaScript,109261
OpenDroneMap/WebODM,DL3008,DL,warning,2021,1953,25,Organization,JavaScript,109261
qweq12yt/Citadel-Station-13,DL3005,DL,error,2021,2461,61,User,DM,1137180
qweq12yt/Citadel-Station-13,DL3008,DL,warning,2021,2461,61,User,DM,1137180
qweq12yt/Citadel-Station-13,DL3008,DL,warning,2021,2461,61,User,DM,1137180
qweq12yt/Citadel-Station-13,DL3003,DL,warning,2021,2461,61,User,DM,1137180
